Designator,Footprint,Quantity,Value,LCSC Part #
,4caf8f08-ef57-4cd8-b036-9392498239b6,1,,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
"J2, J3, J4, J5",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3.3kΩ,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1MΩ,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.6kΩ,
"R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10kΩ,
"R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,47kΩ,
U1,ESP32-DevKitC,1,ESP32-DevKitC,
U10,ADS1115,1,~,
U11,NX4827P043,1,~,
U12,PMS7003,1,~,
U13,MICS-6814,1,~,
U14,MQ-131,1,~,
U2,DS3231,1,~,
U3,MPU6050,1,~,
U4,ENS160+ENS210,1,~,
U5,SIM800C,1,~,
U6,SD_Card,1,~,
U7,NEO-6M,1,~,
U8,SSD1306,1,~,
U9,Level-Convertor,1,~,
